,"(('ORC', 'electricity'), 'flow')","(('electricity', 'HP'), 'flow')","(('electricity', 'demand_el'), 'flow')","(('electricity', 'excess_bel'), 'flow')","(('grid', 'electricity'), 'flow')","(('pv', 'electricity'), 'flow')"
2022-01-01 00:00:00,0.0,0.0,209643.3415769,0.0,209643.34,0.0
2022-01-01 01:00:00,0.0,0.0,207497.2007709,0.0,207497.2,0.0
2022-01-01 02:00:00,0.0,0.0,200108.0148989,0.0,200108.01,0.0
2022-01-01 03:00:00,0.0,0.0,191892.6802004,0.0,191892.68,0.0
2022-01-01 04:00:00,0.0,0.0,185717.3331069,0.0,185717.33,0.0
2022-01-01 05:00:00,0.0,0.0,180672.7483735,0.0,180672.75,0.0
2022-01-01 06:00:00,0.0,0.0,172683.5661471,0.0,172683.57,0.0
2022-01-01 07:00:00,0.0,0.0,170048.1975444,0.0,170048.2,0.0
2022-01-01 08:00:00,0.0,0.0,171132.8063389,0.0,171132.81,0.0
2022-01-01 09:00:00,0.0,0.0,179532.7553002,0.0,143339.34,36193.416
2022-01-01 10:00:00,0.0,0.0,189155.7737532,0.0,99376.454,89779.32
2022-01-01 11:00:00,0.0,0.0,201026.4708567,0.0,107813.35,93213.12
2022-01-01 12:00:00,0.0,0.0,208466.425651,0.0,148171.23,60295.2
2022-01-01 13:00:00,0.0,0.0,207718.7378864,0.0,158329.05,49389.684
2022-01-01 14:00:00,0.0,0.0,205443.3670963,0.0,175120.59,30322.782
2022-01-01 15:00:00,0.0,0.0,206255.669853,0.0,197715.98,8539.686
2022-01-01 16:00:00,0.0,0.0,217240.2184947,0.0,217240.22,0.0
2022-01-01 17:00:00,0.0,0.0,232798.5854994,0.0,232798.59,0.0
2022-01-01 18:00:00,0.0,0.0,237321.6349401,0.0,237321.63,0.0
2022-01-01 19:00:00,0.0,0.0,232387.8187645,0.0,232387.82,0.0
2022-01-01 20:00:00,0.0,0.0,224306.3294067,0.0,224306.33,0.0
2022-01-01 21:00:00,0.0,0.0,219280.2060996,0.0,219280.21,0.0
2022-01-01 22:00:00,0.0,0.0,223701.7176957,0.0,223701.72,0.0
2022-01-01 23:00:00,0.0,0.0,213926.3924759,0.0,213926.39,0.0
2022-01-02 00:00:00,0.0,0.0,201834.1582569,0.0,201834.16,0.0
2022-01-02 01:00:00,0.0,0.0,192215.7551605,0.0,192215.76,0.0
2022-01-02 02:00:00,0.0,0.0,187152.7090008,0.0,187152.71,0.0
2022-01-02 03:00:00,0.0,0.0,184355.8029181,0.0,184355.8,0.0
2022-01-02 04:00:00,0.0,0.0,184438.8793364,0.0,184438.88,0.0
2022-01-02 05:00:00,0.0,0.0,182786.5816836,0.0,182786.58,0.0
2022-01-02 06:00:00,0.0,0.0,180105.0595152,0.0,180105.06,0.0
2022-01-02 07:00:00,0.0,0.0,191509.6056049,0.0,191509.61,0.0
2022-01-02 08:00:00,0.0,0.0,207104.8954623,0.0,207104.9,0.0
2022-01-02 09:00:00,0.0,0.0,222501.724987,0.0,194701.91,27799.812
2022-01-02 10:00:00,0.0,0.0,231127.8264203,0.0,155624.97,75502.86
2022-01-02 11:00:00,0.0,0.0,238410.8590912,0.0,149225.18,89185.68
2022-01-02 12:00:00,0.0,0.0,241184.688391,0.0,166473.35,74711.34000000001
2022-01-02 13:00:00,0.0,0.0,237413.9420716,0.0,176635.68,60778.259999999995
2022-01-02 14:00:00,0.0,0.0,234469.3445786,0.0,197232.4,37236.941999999995
2022-01-02 15:00:00,0.0,0.0,235193.9555604,0.0,224009.66,11184.294000000002
2022-01-02 16:00:00,0.0,0.0,242730.8328427,0.0,242730.83,0.0
2022-01-02 17:00:00,0.0,0.0,264196.8562598,0.0,264196.86,0.0
2022-01-02 18:00:00,0.0,0.0,265950.6917572,0.0,265950.69,0.0
2022-01-02 19:00:00,0.0,0.0,260283.0338866,0.0,260283.03,0.0
2022-01-02 20:00:00,0.0,0.0,245578.5078477,0.0,245578.51,0.0
2022-01-02 21:00:00,0.0,0.0,238849.3179655,0.0,238849.32,0.0
2022-01-02 22:00:00,0.0,0.0,241553.9169168,0.0,241553.92,0.0
2022-01-02 23:00:00,0.0,0.0,231372.4403186,0.0,231372.44,0.0
2022-01-03 00:00:00,0.0,0.0,218135.5976697,0.0,218135.6,0.0
2022-01-03 01:00:00,0.0,0.0,208761.8084717,0.0,208761.81,0.0
2022-01-03 02:00:00,0.0,0.0,201492.6218705,0.0,201492.62,0.0
2022-01-03 03:00:00,0.0,0.0,194421.895602,0.0,194421.9,0.0
2022-01-03 04:00:00,0.0,0.0,192118.8326725,0.0,192118.83,0.0
2022-01-03 05:00:00,0.0,0.0,187983.4731838,0.0,187983.47,0.0
2022-01-03 06:00:00,0.0,0.0,181517.3586262,0.0,181517.36,0.0
2022-01-03 07:00:00,0.0,0.0,185246.5667365,0.0,185246.57,0.0
2022-01-03 08:00:00,0.0,0.0,191874.2187741,0.0,191874.22,0.0
2022-01-03 09:00:00,0.0,0.0,202715.6913621,0.0,165841.92,36873.774
2022-01-03 10:00:00,0.0,0.0,213700.2400039,0.0,129193.84,84506.4
2022-01-03 11:00:00,0.0,0.0,225649.3981692,0.0,149861.36,75788.04000000001
2022-01-03 12:00:00,0.0,0.0,229346.2987835,0.0,198638.81,30707.484
2022-01-03 13:00:00,0.0,0.0,223484.7959368,0.0,198627.58,24857.219999999998
2022-01-03 14:00:00,0.0,0.0,219326.3596653,0.0,204470.23,14856.132
2022-01-03 15:00:00,0.0,0.0,218684.8251018,0.0,214841.12,3843.7025999999996
