dhi;dni;ghi;temp_air;wind_speed
0;0;0;-0.2;1.6
0;0;0;-0.1;1.2
0;0;0;0.1;0.8
0;0;0;0.2;0.7
0;0;0;0.3;1
0;0;0;0.3;1.2
0;0;0;0.4;2
0;0;0;0.6;2
2;0;2;1.1;2.1
10;0;10;1.4;2
35;0;35;1.5;2.5
106;10;108.3870295;1.9;2.7
94;3;94.74201174;2.3;2.8
48;0;48;2.5;2.7
25;0;25;2.6;2.2
3;0;3;2.7;2.4
0;0;0;2.6;2.8
0;0;0;2.6;2.6
0;0;0;2.5;2.8
0;0;0;2.9;2.2
0;0;0;2.9;1.8
0;0;0;3.1;1.7
0;0;0;3.5;1.8
0;0;0;3.6;2.5
0;0;0;3.9;2.7
0;0;0;4.3;3.1
0;0;0;4.5;3.5
0;0;0;4.6;3.3
0;0;0;4.6;3.1
0;0;0;4.7;2.8
0;0;0;4.5;2.2
0;0;0;4.6;2.5
4;0;4;4.5;3.1
41;4;41.45281286;4.8;3.2
52;0;52;4.6;3.8
70;0;70;4.4;4.4
87;1;87.24885893;4.3;4.8
76;1;76.2198462;4.1;5.6
20;0;20;4.4;5
6;0;6;4.9;3.8
0;0;0;4.7;3.6
0;0;0;4.9;3
0;0;0;5.3;4.3
0;0;0;5.2;5.1
0;0;0;4.9;5
0;0;0;4.8;4.3
0;0;0;5;3.9
0;0;0;5.6;4.1
0;0;0;5.6;3.9
0;0;0;5.4;4.1
0;0;0;5.3;3.7
0;0;0;5.3;4.4
0;0;0;5.6;4.5
0;0;0;6;4.2
0;0;0;6.1;4.8
0;0;0;6.1;4.2
1;0;1;5.8;4.2
36;2;36.22779366;5.9;4
70;4;70.77899181;6.1;5.1
61;0;61;6.3;5.2
37;0;37;6.7;5.5
60;0;60;7.2;5.1
48;0;48;7.3;5.4
13;0;13;7.1;5.6
0;0;0;7.1;5.1
0;0;0;7;5
0;0;0;7.4;4.7
0;0;0;7.4;3.7
0;0;0;7.2;4.1
0;0;0;7.2;4.7
0;0;0;7;4.6
0;0;0;6.7;5.1
0;0;0;6.7;5
0;0;0;6.6;4.6
0;0;0;6.2;5.6
0;0;0;5.9;5.5
0;0;0;6.2;5.3
0;0;0;6.6;5.7
0;0;0;6.5;5.7
0;0;0;6.2;4.9
6;0;6;6.6;4.1
19;0;19;6.5;3.9
33;0;33;6.3;4.1
31;0;31;6.6;3.6
49;0;49;6.6;2.9
55;0;55;6.7;3.3
63;9;64.43272798;6.7;3
16;0;16;6.5;3.4
0;0;0;6.2;3.3
0;0;0;5.9;3.5
0;0;0;5.8;4.6
0;0;0;5.6;4
0;0;0;5.3;4.1
0;0;0;5.4;4.7
