time(UTC),dhi,dni,ghi,temp_air,wind_speed
2023-01-01 00:00:00,0.0,0.0,0.0,12.26,9.12
2023-01-01 01:00:00,0.0,0.0,0.0,12.13,8.8
2023-01-01 02:00:00,0.0,0.0,0.0,11.9,8.55
2023-01-01 03:00:00,0.0,0.0,0.0,11.4,8.2
2023-01-01 04:00:00,0.0,0.0,0.0,10.91,8.02
2023-01-01 05:00:00,0.0,0.0,0.0,11.13,8.86
2023-01-01 06:00:00,0.0,0.0,0.0,11.07,8.77
2023-01-01 07:00:00,0.0,0.0,0.0,10.76,8.4
2023-01-01 08:00:00,8.21,17.25,8.505033524,10.8,8.31
2023-01-01 09:00:00,20.53,11.73,21.85177118,11.37,8.63
2023-01-01 10:00:00,60.32,38.79,67.80121359,12.08,8.69
2023-01-01 11:00:00,91.65,51.29,103.8930742,12.69,8.56
2023-01-01 12:00:00,92.8,58.96,107.3830041,13.18,8.46
2023-01-01 13:00:00,74.6,42.66,83.89872428,13.38,8.19
2023-01-01 14:00:00,46.64,9.33,48.06413932,12.97,7.4
2023-01-01 15:00:00,11.77,46.4,14.36011783,11.68,6.48
2023-01-01 16:00:00,0.0,0.0,0.0,10.37,5.58
2023-01-01 17:00:00,0.0,0.0,0.0,9.01,4.44
2023-01-01 18:00:00,0.0,0.0,0.0,8.2,4.18
2023-01-01 19:00:00,0.0,0.0,0.0,7.48,3.92
2023-01-01 20:00:00,0.0,0.0,0.0,7.1,3.63
2023-01-01 21:00:00,0.0,0.0,0.0,7.22,3.35
2023-01-01 22:00:00,0.0,0.0,0.0,7.3,3.21
2023-01-01 23:00:00,0.0,0.0,0.0,7.65,3.28
2023-01-02 00:00:00,0.0,0.0,0.0,8.08,3.16
2023-01-02 01:00:00,0.0,0.0,0.0,8.23,2.9
2023-01-02 02:00:00,0.0,0.0,0.0,8.54,3.26
2023-01-02 03:00:00,0.0,0.0,0.0,8.81,3.9
2023-01-02 04:00:00,0.0,0.0,0.0,9.03,4.52
2023-01-02 05:00:00,0.0,0.0,0.0,9.18,4.99
2023-01-02 06:00:00,0.0,0.0,0.0,8.99,4.74
2023-01-02 07:00:00,0.0,0.0,0.0,9.11,5.45
2023-01-02 08:00:00,9.73,18.04,10.04169331,9.04,5.37
2023-01-02 09:00:00,37.71,11.61,39.02428931,9.4,5.5
2023-01-02 10:00:00,64.6,60.7,76.35884635,9.9,5.47
2023-01-02 11:00:00,86.34,55.31,99.60827076,10.33,5.45
2023-01-02 12:00:00,86.99,53.42,100.2840442,10.66,5.52
2023-01-02 13:00:00,74.07,52.47,85.60533034,10.93,5.9
2023-01-02 14:00:00,50.99,13.52,53.08168442,11.3,6.84
2023-01-02 15:00:00,12.45,47.79,15.22596576,10.87,6.45
2023-01-02 16:00:00,0.0,0.0,0.0,10.53,6.36
2023-01-02 17:00:00,0.0,0.0,0.0,10.22,6.11
2023-01-02 18:00:00,0.0,0.0,0.0,10.03,6.27
2023-01-02 19:00:00,0.0,0.0,0.0,9.76,5.82
2023-01-02 20:00:00,0.0,0.0,0.0,9.38,5.67
2023-01-02 21:00:00,0.0,0.0,0.0,8.68,5.57
2023-01-02 22:00:00,0.0,0.0,0.0,7.69,4.83
2023-01-02 23:00:00,0.0,0.0,0.0,6.99,4.59
2023-01-03 00:00:00,0.0,0.0,0.0,6.69,5.07
2023-01-03 01:00:00,0.0,0.0,0.0,6.78,5.37
2023-01-03 02:00:00,0.0,0.0,0.0,7.08,6.12
2023-01-03 03:00:00,0.0,0.0,0.0,7.19,6.2
2023-01-03 04:00:00,0.0,0.0,0.0,6.87,6.52
2023-01-03 05:00:00,0.0,0.0,0.0,6.17,6.51
2023-01-03 06:00:00,0.0,0.0,0.0,5.22,6.05
2023-01-03 07:00:00,0.0,0.0,0.0,4.45,5.37
2023-01-03 08:00:00,11.35,103.41,13.17279902,4.14,5.37
2023-01-03 09:00:00,35.33,448.42,86.40361657,4.28,5.6
2023-01-03 10:00:00,43.52,656.82,171.4343495,4.76,5.73
2023-01-03 11:00:00,53.63,668.21,214.9451265,5.41,5.89
2023-01-03 12:00:00,53.62,657.7,218.4060601,5.88,6.07
2023-01-03 13:00:00,75.21,458.27,176.817024,5.98,5.72
2023-01-03 14:00:00,45.66,347.16,100.0874753,5.29,4.28
