,"(('HP', 'th. Energy HP'), 'flow')","(('th. Energy HP', 'bridgeHP'), 'flow')","(('th. Energy HP', 'storage'), 'flow')"
2023-01-01 00:00:00,3000.0,703.39842,2296.6016
2023-01-01 01:00:00,3000.0,748.10595,2251.8941
2023-01-01 02:00:00,3000.0,757.04745,2242.9525
2023-01-01 03:00:00,3000.0,816.65749,2183.3425
2023-01-01 04:00:00,3000.0,1013.3706,1986.6294
2023-01-01 05:00:00,3000.0,1505.1534,1494.8466
2023-01-01 06:00:00,3000.0,1496.2119,1503.7881
2023-01-01 07:00:00,3000.0,1457.4654,1542.5346
2023-01-01 08:00:00,3000.0,1442.5629,1557.4371
2023-01-01 09:00:00,3000.0,1412.7578,1587.2422
2023-01-01 10:00:00,3000.0,1374.0113,1625.9887
2023-01-01 11:00:00,3000.0,1329.3038,1670.6962
2023-01-01 12:00:00,3000.0,1317.3818,1682.6182
2023-01-01 13:00:00,3000.0,1314.4013,1685.5987
2023-01-01 14:00:00,3000.0,1320.3623,1679.6377
2023-01-01 15:00:00,3000.0,1332.2843,1667.7157
2023-01-01 16:00:00,3000.0,1388.9138,1611.0862
2023-01-01 17:00:00,0.0,0.0,0.0
2023-01-01 18:00:00,0.0,0.0,0.0
2023-01-01 19:00:00,0.0,0.0,0.0
2023-01-01 20:00:00,0.0,0.0,0.0
2023-01-01 21:00:00,397.62561,397.62561,0.0
2023-01-01 22:00:00,0.0,0.0,0.0
2023-01-01 23:00:00,3000.0,831.56,2168.44
2023-01-02 00:00:00,0.0,0.0,0.0
2023-01-02 01:00:00,0.0,0.0,0.0
2023-01-02 02:00:00,0.0,0.0,0.0
2023-01-02 03:00:00,756.97193,756.97193,0.0
2023-01-02 04:00:00,0.0,0.0,0.0
2023-01-02 05:00:00,0.0,0.0,0.0
2023-01-02 06:00:00,0.0,0.0,0.0
2023-01-02 07:00:00,0.0,0.0,0.0
2023-01-02 08:00:00,0.0,0.0,0.0
2023-01-02 09:00:00,0.0,0.0,0.0
2023-01-02 10:00:00,0.0,0.0,0.0
2023-01-02 11:00:00,0.0,0.0,0.0
2023-01-02 12:00:00,0.0,0.0,0.0
2023-01-02 13:00:00,0.0,0.0,0.0
2023-01-02 14:00:00,0.0,0.0,0.0
2023-01-02 15:00:00,0.0,0.0,0.0
2023-01-02 16:00:00,0.0,0.0,0.0
2023-01-02 17:00:00,0.0,0.0,0.0
2023-01-02 18:00:00,0.0,0.0,0.0
2023-01-02 19:00:00,0.0,0.0,0.0
2023-01-02 20:00:00,0.0,0.0,0.0
2023-01-02 21:00:00,0.0,0.0,0.0
2023-01-02 22:00:00,0.0,0.0,0.0
2023-01-02 23:00:00,0.0,0.0,0.0
2023-01-03 00:00:00,0.0,0.0,0.0
2023-01-03 01:00:00,0.0,0.0,0.0
2023-01-03 02:00:00,0.0,0.0,0.0
2023-01-03 03:00:00,0.0,0.0,0.0
2023-01-03 04:00:00,0.0,0.0,0.0
2023-01-03 05:00:00,0.0,0.0,0.0
2023-01-03 06:00:00,0.0,0.0,0.0
2023-01-03 07:00:00,0.0,0.0,0.0
2023-01-03 08:00:00,0.0,0.0,0.0
2023-01-03 09:00:00,0.0,0.0,0.0
2023-01-03 10:00:00,32.21692,32.21692,0.0
2023-01-03 11:00:00,175.62287,175.62287,0.0
2023-01-03 12:00:00,58.35588,58.35588,0.0
2023-01-03 13:00:00,0.0,0.0,0.0
2023-01-03 14:00:00,0.0,0.0,0.0
2023-01-03 15:00:00,0.0,0.0,0.0
2023-01-03 16:00:00,0.0,0.0,0.0
2023-01-03 17:00:00,0.0,0.0,0.0
2023-01-03 18:00:00,0.0,0.0,0.0
2023-01-03 19:00:00,0.0,0.0,0.0
2023-01-03 20:00:00,0.0,0.0,0.0
2023-01-03 21:00:00,0.0,0.0,0.0
2023-01-03 22:00:00,0.0,0.0,0.0
2023-01-03 23:00:00,0.0,0.0,0.0
2023-01-04 00:00:00,0.0,0.0,0.0
2023-01-04 01:00:00,0.0,0.0,0.0
2023-01-04 02:00:00,3000.0,545.92369,2454.0763
2023-01-04 03:00:00,3000.0,597.03144,2402.9686
2023-01-04 04:00:00,3000.0,803.78552,2196.2145
2023-01-04 05:00:00,3000.0,1194.0629,1805.9371
2023-01-04 06:00:00,0.0,0.0,0.0
2023-01-04 07:00:00,0.0,0.0,0.0
2023-01-04 08:00:00,0.0,0.0,0.0
2023-01-04 09:00:00,0.0,0.0,0.0
2023-01-04 10:00:00,0.0,0.0,0.0
2023-01-04 11:00:00,0.0,0.0,0.0
2023-01-04 12:00:00,0.0,0.0,0.0
2023-01-04 13:00:00,0.0,0.0,0.0
2023-01-04 14:00:00,0.0,0.0,0.0
2023-01-04 15:00:00,0.0,0.0,0.0
2023-01-04 16:00:00,0.0,0.0,0.0
2023-01-04 17:00:00,0.0,0.0,0.0
