,"(('storage', 'th. Energy ORC'), 'flow')","(('th. Energy ORC', 'ORC'), 'flow')","(('th. Energy ORC', 'bridgeORC'), 'flow')"
2045-01-01 00:00:00,0.0,0.0,0.0
2045-01-01 01:00:00,0.0,0.0,0.0
2045-01-01 02:00:00,0.0,0.0,0.0
2045-01-01 03:00:00,0.0,0.0,0.0
2045-01-01 04:00:00,0.0,0.0,0.0
2045-01-01 05:00:00,258.44306,0.0,258.44306
2045-01-01 06:00:00,249.50156,0.0,249.50156
2045-01-01 07:00:00,210.75503,0.0,210.75503
2045-01-01 08:00:00,195.85252,0.0,195.85252
2045-01-01 09:00:00,166.04751,0.0,166.04751
2045-01-01 10:00:00,127.30098,0.0,127.30098
2045-01-01 11:00:00,82.593457,0.0,82.593457
2045-01-01 12:00:00,70.67145,0.0,70.67145
2045-01-01 13:00:00,67.690948,0.0,67.690948
2045-01-01 14:00:00,73.651952,0.0,73.651952
2045-01-01 15:00:00,85.573959,0.0,85.573959
2045-01-01 16:00:00,142.20349,0.0,142.20349
2045-01-01 17:00:00,189.89152,0.0,189.89152
2045-01-01 18:00:00,219.69654,0.0,219.69654
2045-01-01 19:00:00,216.71604,0.0,216.71604
2045-01-01 20:00:00,183.93052,0.0,183.93052
2045-01-01 21:00:00,61.729944,0.0,61.729944
2045-01-01 22:00:00,0.0,0.0,0.0
2045-01-01 23:00:00,0.0,0.0,0.0
2045-01-02 00:00:00,0.0,0.0,0.0
2045-01-02 01:00:00,0.0,0.0,0.0
2045-01-02 02:00:00,0.0,0.0,0.0
2045-01-02 03:00:00,0.0,0.0,0.0
2045-01-02 04:00:00,0.0,0.0,0.0
2045-01-02 05:00:00,148.43866,0.0,148.43866
2045-01-02 06:00:00,140.15065,0.0,140.15065
2045-01-02 07:00:00,104.23592,0.0,104.23592
2045-01-02 08:00:00,90.422566,0.0,90.422566
2045-01-02 09:00:00,62.795854,0.0,62.795854
2045-01-02 10:00:00,26.881127,0.0,26.881127
2045-01-02 11:00:00,0.0,0.0,0.0
2045-01-02 12:00:00,0.0,0.0,0.0
2045-01-02 13:00:00,0.0,0.0,0.0
2045-01-02 14:00:00,0.0,0.0,0.0
2045-01-02 15:00:00,0.0,0.0,0.0
2045-01-02 16:00:00,40.694483,0.0,40.694483
2045-01-02 17:00:00,84.897224,0.0,84.897224
2045-01-02 18:00:00,112.52394,0.0,112.52394
2045-01-02 19:00:00,109.76127,0.0,109.76127
2045-01-02 20:00:00,79.371881,0.0,79.371881
2045-01-02 21:00:00,0.0,0.0,0.0
2045-01-02 22:00:00,0.0,0.0,0.0
2045-01-02 23:00:00,0.0,0.0,0.0
2045-01-03 00:00:00,0.0,0.0,0.0
2045-01-03 01:00:00,0.0,0.0,0.0
2045-01-03 02:00:00,0.0,0.0,0.0
2045-01-03 03:00:00,0.0,0.0,0.0
2045-01-03 04:00:00,0.0,0.0,0.0
2045-01-03 05:00:00,18.476028,0.0,18.476028
2045-01-03 06:00:00,45.552001,0.0,45.552001
2045-01-03 07:00:00,1.2458635,0.0,1.2458635
2045-01-03 08:00:00,0.0,0.0,0.0
2045-01-03 09:00:00,-2.4381352e-13,0.0,0.0
2045-01-03 10:00:00,0.0,0.0,0.0
2045-01-03 11:00:00,0.0,0.0,0.0
2045-01-03 12:00:00,0.0,0.0,0.0
2045-01-03 13:00:00,0.0,0.0,0.0
2045-01-03 14:00:00,43.153603,0.0,43.153603
2045-01-03 15:00:00,749.20826,0.0,749.20826
2045-01-03 16:00:00,808.28311,0.0,808.28311
2045-01-03 17:00:00,864.8965,0.0,864.8965
2045-01-03 18:00:00,916.587,0.0,916.587
2045-01-03 19:00:00,951.04733,0.0,951.04733
2045-01-03 20:00:00,941.20152,0.0,941.20152
2045-01-03 21:00:00,0.0,0.0,0.0
2045-01-03 22:00:00,0.0,0.0,0.0
2045-01-03 23:00:00,0.0,0.0,0.0
2045-01-04 00:00:00,0.0,0.0,0.0
2045-01-04 01:00:00,0.0,0.0,0.0
2045-01-04 02:00:00,0.0,0.0,0.0
2045-01-04 03:00:00,0.0,0.0,0.0
2045-01-04 04:00:00,0.0,0.0,0.0
