,"(('TES', 'None'), 'storage_content')","(('TES', 'th. Energy'), 'flow')","(('th. Energy', 'TES'), 'flow')"
2023-01-01 00:00:00,45921.775,0.0,978.44234
2023-01-01 01:00:00,46904.113,0.0,986.16421
2023-01-01 02:00:00,47897.951,0.0,997.74702
2023-01-01 03:00:00,48863.393,0.0,969.43349
2023-01-01 04:00:00,49683.326,0.0,824.0049
2023-01-01 05:00:00,50263.812,0.0,584.62688
2023-01-01 06:00:00,50745.153,0.0,485.52952
2023-01-01 07:00:00,51301.099,0.0,560.17428
2023-01-01 08:00:00,51893.033,0.0,596.20968
2023-01-01 09:00:00,52529.963,0.0,641.25394
2023-01-01 10:00:00,53197.727,0.0,672.14142
2023-01-01 11:00:00,53895.036,0.0,701.74193
2023-01-01 12:00:00,54605.156,0.0,714.61172
2023-01-01 13:00:00,55330.661,0.0,730.05546
2023-01-01 14:00:00,56075.41,0.0,749.36014
2023-01-01 15:00:00,56817.524,0.0,746.78619
2023-01-01 16:00:00,57544.131,0.0,731.34244
2023-01-01 17:00:00,58243.652,0.0,704.31589
2023-01-01 18:00:00,58898.07,0.0,659.27164
2023-01-01 19:00:00,59508.676,0.0,615.51436
2023-01-01 20:00:00,60102.501,0.0,598.78364
2023-01-01 21:00:00,60724.589,0.0,627.09717
2023-01-01 22:00:00,61458.593,0.0,739.06431
2023-01-01 23:00:00,62340.538,0.0,887.06686
2023-01-02 00:00:00,63353.627,0.0,1018.2837
2023-01-02 01:00:00,64373.281,0.0,1024.9336
2023-01-02 02:00:00,65402.825,0.0,1034.9084
2023-01-02 03:00:00,66407.9,0.0,1010.5254
2023-01-02 04:00:00,67287.652,0.0,885.28549
2023-01-02 05:00:00,67287.652,0.0,5.6073043
2023-01-02 06:00:00,67287.652,0.0,5.6073043
2023-01-02 07:00:00,66662.291,607.3583,0.0
2023-01-02 08:00:00,66068.649,576.32539,0.0
2023-01-02 09:00:00,65514.639,537.53426,0.0
2023-01-02 10:00:00,64987.817,510.93463,0.0
2023-01-02 11:00:00,64487.051,485.44331,0.0
2023-01-02 12:00:00,63997.637,474.36013,0.0
2023-01-02 13:00:00,63521.834,461.06031,0.0
2023-01-02 14:00:00,63063.035,444.43554,0.0
2023-01-02 15:00:00,62602.012,446.65218,0.0
2023-01-02 16:00:00,62127.456,459.952,0.0
2023-01-02 17:00:00,61629.19,483.22668,0.0
2023-01-02 18:00:00,61091.383,522.01781,0.0
2023-01-02 19:00:00,60515.169,559.70062,0.0
2023-01-02 20:00:00,59924.301,574.10876,0.0
2023-01-02 21:00:00,59358.363,549.72576,0.0
2023-01-02 22:00:00,58890.863,453.30209,0.0
2023-01-02 23:00:00,58553.46,325.84551,0.0
2023-01-03 00:00:00,58172.263,368.79109,0.0
2023-01-03 01:00:00,57754.465,404.69111,0.0
2023-01-03 02:00:00,57358.349,383.47746,0.0
2023-01-03 03:00:00,56925.633,419.37748,0.0
2023-01-03 04:00:00,56344.757,564.60937,0.0
2023-01-03 05:00:00,55484.189,838.75496,0.0
2023-01-03 06:00:00,54605.377,856.70497,0.0
2023-01-03 07:00:00,53756.61,827.33222,0.0
2023-01-03 08:00:00,52929.56,806.11858,0.0
2023-01-03 09:00:00,52149.203,760.42765,0.0
2023-01-03 10:00:00,51397.218,732.68672,0.0
2023-01-03 11:00:00,50670.272,708.20944,0.0
2023-01-03 12:00:00,49956.708,695.15489,0.0
2023-01-03 13:00:00,49253.194,685.36397,0.0
2023-01-03 14:00:00,48549.738,685.36397,0.0
2023-01-03 15:00:00,47828.025,703.31398,0.0
2023-01-03 16:00:00,47066.409,742.47764,0.0
2023-01-03 17:00:00,46266.559,780.00947,0.0
2023-01-03 18:00:00,45431.808,814.27767,0.0
2023-01-03 19:00:00,44573.814,837.12314,0.0
2023-01-03 20:00:00,43722.553,830.59586,0.0
2023-01-03 21:00:00,42946.293,757.16401,0.0
2023-01-03 22:00:00,42286.657,642.93668,0.0
2023-01-03 23:00:00,42283.133,0.0,0.0
2023-01-04 00:00:00,43143.766,0.0,864.15679
2023-01-04 01:00:00,43965.265,0.0,825.09396
2023-01-04 02:00:00,44809.777,0.0,848.17654
2023-01-04 03:00:00,45615.157,0.0,809.11371
2023-01-04 04:00:00,46262.442,0.0,651.08681
2023-01-04 05:00:00,46611.376,0.0,352.78884
2023-01-04 06:00:00,46940.749,0.0,333.25743
2023-01-04 07:00:00,47302.055,0.0,365.21792
2023-01-04 08:00:00,47686.414,0.0,388.3005
2023-01-04 09:00:00,48120.457,0.0,438.01683
2023-01-04 10:00:00,48584.649,0.0,468.20174
2023-01-04 11:00:00,49075.435,0.0,494.83549
2023-01-04 12:00:00,49580.386,0.0,509.04016
2023-01-04 13:00:00,50095.948,0.0,519.69366
2023-01-04 14:00:00,50611.467,0.0,519.69366
2023-01-04 15:00:00,51107.412,0.0,500.16224
2023-01-04 16:00:00,51560.701,0.0,457.54825
2023-01-04 17:00:00,51973.114,0.0,416.70983
2023-01-04 18:00:00,52348.205,0.0,379.42259
2023-01-04 19:00:00,52698.408,0.0,354.56442
2023-01-04 20:00:00,53055.683,0.0,361.66676
2023-01-04 21:00:00,53492.829,0.0,441.568
2023-01-04 22:00:00,54054.231,0.0,565.85882
2023-01-04 23:00:00,54800.245,0.0,750.51947
2023-01-05 00:00:00,55655.232,0.0,859.55293
2023-01-05 01:00:00,56470.636,0.0,820.04194
2023-01-05 02:00:00,57309.319,0.0,843.38934
2023-01-05 03:00:00,58108.422,0.0,803.87835
2023-01-05 04:00:00,58747.618,0.0,644.03843
2023-01-05 05:00:00,59085.04,0.0,342.31812
2023-01-05 06:00:00,59402.679,0.0,322.56263
2023-01-05 07:00:00,59752.619,0.0,354.8898
2023-01-05 08:00:00,60125.877,0.0,378.23721
2023-01-05 09:00:00,59266.872,836.91466,0.0
2023-01-05 10:00:00,58439.092,806.38344,0.0
2023-01-05 11:00:00,57638.871,779.44412,0.0
2023-01-05 12:00:00,56853.378,765.07649,0.0
2023-01-05 13:00:00,56078.945,754.30076,0.0
2023-01-05 14:00:00,55304.577,754.30076,0.0
2023-01-05 15:00:00,54510.115,774.05626,0.0
2023-01-05 16:00:00,53671.737,817.15916,0.0
2023-01-05 17:00:00,52791.279,858.46611,0.0
2023-01-05 18:00:00,51872.409,896.18115,0.0
2023-01-05 19:00:00,50927.959,921.32451,0.0
2023-01-05 20:00:00,49990.918,914.14069,0.0
2023-01-05 21:00:00,49136.423,833.32275,0.0
2023-01-05 22:00:00,48410.282,707.60596,0.0
2023-01-05 23:00:00,47874.791,520.82672,0.0
2023-01-06 00:00:00,47430.012,431.97425,0.0
2023-01-06 01:00:00,46942.361,474.02484,0.0
2023-01-06 02:00:00,46480.105,449.17677,0.0
2023-01-06 03:00:00,47250.443,0.0,774.21122
2023-01-06 04:00:00,47850.603,0.0,604.09747
2023-01-06 05:00:00,48129.599,0.0,282.98386
2023-01-06 06:00:00,48125.588,0.0,0.0
2023-01-06 07:00:00,47132.726,969.07498,0.0
2023-01-06 08:00:00,46165.301,944.22691,0.0
2023-01-06 09:00:00,45252.569,890.70797,0.0
2023-01-06 10:00:00,44373.069,858.21433,0.0
2023-01-06 11:00:00,43522.898,829.54348,0.0
2023-01-06 12:00:00,42688.401,814.25235,0.0
2023-01-06 13:00:00,42684.844,0.0,0.0
2023-01-06 14:00:00,41862.119,802.78401,0.0
2023-01-06 15:00:00,41018.009,823.80931,0.0
2023-01-06 16:00:00,40127.16,869.68268,0.0
2023-01-06 17:00:00,39191.525,913.64466,0.0
2023-01-06 18:00:00,38215.01,953.78386,0.0
2023-01-06 19:00:00,37211.271,980.54333,0.0
2023-01-06 20:00:00,36215.418,972.89776,0.0
2023-01-06 21:00:00,35307.415,886.88519,0.0
2023-01-06 22:00:00,34536.016,753.08786,0.0
2023-01-06 23:00:00,33967.522,554.30325,0.0
2023-01-07 00:00:00,34822.298,0.0,857.60607
2023-01-07 01:00:00,35582.104,0.0,762.70868
2023-01-07 02:00:00,36420.504,0.0,841.36496
2023-01-07 03:00:00,37219.134,0.0,801.66445
2023-01-07 04:00:00,37857.09,0.0,641.05784
2023-01-07 05:00:00,38191.825,0.0,337.89031
2023-01-07 06:00:00,38506.683,0.0,318.04006
2023-01-07 07:00:00,38503.474,0.0,0.0
2023-01-07 08:00:00,37590.615,891.4569,0.0
2023-01-07 09:00:00,36729.392,840.92897,0.0
2023-01-07 10:00:00,37181.518,0.0,455.18727
2023-01-07 11:00:00,37660.676,0.0,482.2558
2023-01-07 12:00:00,38154.23,0.0,496.69235
2023-01-07 13:00:00,38658.57,0.0,507.51976
2023-01-07 14:00:00,39162.868,0.0,507.51976
2023-01-07 15:00:00,39647.274,0.0,487.66951
2023-01-07 16:00:00,40088.33,0.0,444.35986
2023-01-07 17:00:00,40487.844,0.0,402.85478
2023-01-07 18:00:00,40849.429,0.0,364.95884
2023-01-07 19:00:00,41185.72,0.0,339.69488
2023-01-07 20:00:00,41529.201,0.0,346.91316
2023-01-07 21:00:00,41953.859,0.0,428.11874
2023-01-07 22:00:00,42504.801,0.0,554.43855
2023-01-07 23:00:00,43243.373,0.0,742.11368
2023-01-08 00:00:00,44077.831,0.0,838.06162
2023-01-08 01:00:00,44870.616,0.0,796.45856
2023-01-08 02:00:00,45687.919,0.0,821.04219
2023-01-08 03:00:00,46463.551,0.0,779.43912
2023-01-08 04:00:00,47070.815,0.0,611.1358
2023-01-08 05:00:00,47360.332,0.0,293.43966
2023-01-08 06:00:00,47629.023,0.0,272.63813
2023-01-08 07:00:00,47931.731,0.0,306.677
2023-01-08 08:00:00,48258.998,0.0,331.26063
2023-01-08 09:00:00,48639.186,0.0,384.20999
2023-01-08 10:00:00,49051.491,0.0,416.35781
2023-01-08 11:00:00,49047.403,0.0,0.0
2023-01-08 12:00:00,49503.168,0.0,459.85193
2023-01-08 13:00:00,49970.24,0.0,471.19822
2023-01-08 14:00:00,49966.076,0.0,0.0
2023-01-08 15:00:00,49961.912,0.0,0.0
2023-01-08 16:00:00,49079.762,860.42706,0.0
2023-01-08 17:00:00,48153.304,903.92118,0.0
2023-01-08 18:00:00,47186.4,943.63319,0.0
2023-01-08 19:00:00,46192.562,970.10787,0.0
2023-01-08 20:00:00,46188.712,0.0,0.0
2023-01-08 21:00:00,46184.863,0.0,0.0
2023-01-08 22:00:00,46181.014,0.0,0.0
2023-01-08 23:00:00,46894.201,0.0,717.03452
2023-01-09 00:00:00,47705.048,0.0,814.75569
2023-01-09 01:00:00,48471.957,0.0,770.88391
2023-01-09 02:00:00,49264.726,0.0,796.80814
2023-01-09 03:00:00,50013.557,0.0,752.93636
2023-01-09 04:00:00,50584.844,0.0,575.45504
2023-01-09 05:00:00,50821.063,0.0,240.43414
2023-01-09 06:00:00,49748.521,1046.9403,0.0
2023-01-09 07:00:00,48712.697,1011.0452,0.0
2023-01-09 08:00:00,47703.412,985.121,0.0
2023-01-09 09:00:00,46751.187,929.28419,0.0
2023-01-09 10:00:00,45833.635,895.38326,0.0
2023-01-09 11:00:00,44946.682,865.47068,0.0
2023-01-09 12:00:00,44076.082,849.5173,0.0
2023-01-09 13:00:00,43217.764,837.55227,0.0
2023-01-09 14:00:00,42359.517,837.55227,0.0
2023-01-09 15:00:00,41478.959,859.48816,0.0
2023-01-09 16:00:00,40549.636,907.34829,0.0
2023-01-09 17:00:00,39573.59,953.21425,0.0
