,"(('battery', 'electricity'), 'flow')","(('electricity', 'HP'), 'flow')","(('electricity', 'battery'), 'flow')","(('electricity', 'demand_el'), 'flow')","(('electricity', 'excess_bel'), 'flow')","(('grid', 'electricity'), 'flow')","(('pv', 'electricity'), 'flow')"
2023-01-01 00:00:00,0.0,379.09478,0.0,147.15353486166865,0.0,526.24831,0.0
2023-01-01 01:00:00,0.0,379.09478,0.0,106.00468871864463,0.0,485.09946,0.0
2023-01-01 02:00:00,0.0,379.09478,0.0,84.86628333577642,0.0,463.96106,0.0
2023-01-01 03:00:00,0.0,379.471,0.0,77.4339115871426,0.0,456.90492,0.0
2023-01-01 04:00:00,0.0,382.1046,0.0,72.93835663137271,0.0,455.04295,0.0
2023-01-01 05:00:00,0.0,382.85705,100.0,72.73628199407075,0.0,555.59334,0.0
2023-01-01 06:00:00,0.0,382.1046,0.0041666667,77.14877417948968,0.0,459.25754,0.0
2023-01-01 07:00:00,0.0,382.85705,0.0,94.16357061176032,0.0,477.02062,0.0
2023-01-01 08:00:00,0.0,382.1046,0.0083331597,166.77107258740153,0.0,541.44525,7.438756467467192
2023-01-01 09:00:00,0.0,381.72837,0.0041666667,260.9210833260032,0.0,617.74354,24.910077630872905
2023-01-01 10:00:00,0.0,381.35214,0.0,328.14229032951914,0.0,616.28865,93.20578422817383
2023-01-01 11:00:00,0.0,380.22346,0.0083331597,382.0704966285848,0.0,615.69219,146.6101002398308
2023-01-01 12:00:00,0.0,379.471,0.0041666667,389.4825408128741,0.0,619.40811,149.54960544464842
2023-01-01 13:00:00,0.0,380.22346,0.0041666667,326.0415367019853,0.0,589.98843,116.2807367649428
2023-01-01 14:00:00,0.0,382.48083,0.0041666667,256.5240628910814,0.0,574.09832,64.91073452527729
2023-01-01 15:00:00,0.0,384.36196,0.0041666667,219.7527081228817,0.0,578.19694,25.921900582138157
2023-01-01 16:00:00,0.0,386.2431,0.0041666667,201.10811260153082,0.0,587.35538,0.0
2023-01-01 17:00:00,0.0,393.39143,0.0,236.93557239849298,0.0,630.327,0.0
2023-01-01 18:00:00,94.992083,397.52994,0.0,294.84129303827876,0.0,597.37915,0.0
2023-01-01 19:00:00,0.0,394.89634,0.0,332.33815428287596,0.0,727.2345,0.0
2023-01-01 20:00:00,0.0,390.75784,0.0,301.87448499159785,0.0,692.63232,0.0
2023-01-01 21:00:00,0.0,392.63898,0.0,255.55086118008495,0.0,648.18984,0.0
2023-01-01 22:00:00,0.0,394.14389,0.0,216.38584337374743,0.0,610.52973,0.0
