,"(('HP', 'th. Energy'), 'flow')","(('TES', 'th. Energy'), 'flow')","(('th. Energy', 'TES'), 'flow')","(('th. Energy', 'demand_th'), 'flow')"
2023-01-01 00:00:00,1265.4386,0.0,978.44234,286.99623894867665
2023-01-01 01:00:00,1265.4386,0.0,986.16421,279.27436704871224
2023-01-01 02:00:00,1265.4386,0.0,997.74702,267.6915591987656
2023-01-01 03:00:00,1265.4386,0.0,969.43349,296.00508949863513
2023-01-01 04:00:00,1265.4386,0.0,824.0049,441.4336769479645
2023-01-01 05:00:00,1265.4386,0.0,584.62688,680.8117058468608
2023-01-01 06:00:00,1265.4386,0.0,485.52952,779.9090618964037
2023-01-01 07:00:00,1265.4386,0.0,560.17428,705.264300196748
2023-01-01 08:00:00,1265.4386,0.0,596.20968,669.228897996914
2023-01-01 09:00:00,1265.4386,0.0,641.25394,624.1846452471219
2023-01-01 10:00:00,1265.4386,0.0,672.14142,593.2971576472643
2023-01-01 11:00:00,1265.4386,0.0,701.74193,563.6966486974007
2023-01-01 12:00:00,1265.4386,0.0,714.61172,550.8268621974601
2023-01-01 13:00:00,1265.4386,0.0,730.05546,535.3831183975312
2023-01-01 14:00:00,1265.4386,0.0,749.36014,516.0784386476203
2023-01-01 15:00:00,1265.4386,0.0,746.78619,518.6523959476085
2023-01-01 16:00:00,1265.4386,0.0,731.34244,534.0961397475373
2023-01-01 17:00:00,1265.4386,0.0,704.31589,561.1226913974126
2023-01-01 18:00:00,1265.4386,0.0,659.27164,606.166944147205
2023-01-01 19:00:00,1265.4386,0.0,615.51436,649.9242182470032
2023-01-01 20:00:00,1265.4386,0.0,598.78364,666.654940696926
2023-01-01 21:00:00,1265.4386,0.0,627.09717,638.3414103970566
2023-01-01 22:00:00,1265.4386,0.0,739.06431,526.3742678475729
2023-01-01 23:00:00,1265.4386,0.0,887.06686,378.3717230982553
2023-01-02 00:00:00,1265.4386,0.0,1018.2837,247.1549278200307
2023-01-02 01:00:00,1265.4386,0.0,1024.9336,240.50501944819132
2023-01-02 02:00:00,1265.4386,0.0,1034.9084,230.5301568904322
2023-01-02 03:00:00,1265.4386,0.0,1010.5254,254.91315425384332
2023-01-02 04:00:00,1265.4386,0.0,885.28549,380.1530952568185
2023-01-02 05:00:00,591.90756,0.0,5.6073043,586.3002547838397
2023-01-02 06:00:00,677.24805,0.0,5.6073043,671.6407455557785
2023-01-02 07:00:00,0.0,607.3583,0.0,607.358297961331
2023-01-02 08:00:00,0.0,576.32539,0.0,576.3253922260806
2023-01-02 09:00:00,0.0,537.53426,0.0,537.5342600570175
2023-01-02 10:00:00,0.0,510.93463,0.0,510.9346265696599
2023-01-02 11:00:00,0.0,485.44331,0.0,485.4433111442755
2023-01-02 12:00:00,0.0,474.36013,0.0,474.3601305245432
2023-01-02 13:00:00,0.0,461.06031,0.0,461.0603137808644
2023-01-02 14:00:00,0.0,444.43554,0.0,444.43554285126595
2023-01-02 15:00:00,0.0,446.65218,0.0,446.65217897521245
2023-01-02 16:00:00,0.0,459.952,0.0,459.9519957188912
2023-01-02 17:00:00,0.0,483.22668,0.0,483.2266750203291
2023-01-02 18:00:00,0.0,522.01781,0.0,522.0178071893922
2023-01-02 19:00:00,0.0,559.70062,0.0,559.700621296482
2023-01-02 20:00:00,0.0,574.10876,0.0,574.1087561021341
2023-01-02 21:00:00,0.0,549.72576,0.0,549.725758738723
