,"(('storage', 'None'), 'storage_content')","(('storage', 'th. Energy ORC'), 'flow')","(('th. Energy HP', 'storage'), 'flow')"
2023-01-01 00:00:00,99287.696,0.0,690.69988
2023-01-01 01:00:00,99977.843,0.0,698.42175
2023-01-01 02:00:00,100679.52,0.0,710.00456
2023-01-01 03:00:00,101352.82,0.0,681.69103
2023-01-01 04:00:00,101880.63,0.0,536.26244
2023-01-01 05:00:00,102169.03,0.0,296.88441
2023-01-01 06:00:00,102358.3,-1.3495019e-13,197.78705
2023-01-01 07:00:00,102622.2,0.0,272.43181
2023-01-01 08:00:00,102922.12,0.0,308.46722
2023-01-01 09:00:00,103267.05,-1.349709e-13,353.51147
2023-01-01 10:00:00,103642.85,0.0,384.39896
2023-01-01 11:00:00,104048.21,0.0,413.99947
2023-01-01 12:00:00,104466.41,0.0,426.86925
2023-01-01 13:00:00,104900.02,0.0,442.313
2023-01-01 14:00:00,105352.89,0.0,461.61768
2023-01-01 15:00:00,105803.16,0.0,459.04372
2023-01-01 16:00:00,106237.94,0.0,443.59997
2023-01-01 17:00:00,106645.66,-6.7170961e-14,416.57342
2023-01-01 18:00:00,107008.3,0.0,371.52917
2023-01-01 19:00:00,107327.16,0.0,327.7719
2023-01-01 20:00:00,107629.25,0.0,311.04117
2023-01-01 21:00:00,107959.64,0.0,339.3547
2023-01-01 22:00:00,108401.96,0.0,451.32185
2023-01-01 23:00:00,108992.25,0.0,599.32439
2023-01-02 00:00:00,109713.71,-3.3575559e-14,730.54119
2023-01-02 01:00:00,110441.76,0.0,737.1911
2023-01-02 02:00:00,111179.72,0.0,747.16596
2023-01-02 03:00:00,111893.24,0.0,722.78296
2023-01-02 04:00:00,112481.46,6.7270971e-14,597.54302
2023-01-02 05:00:00,112863.48,0.0,391.39586
2023-01-02 06:00:00,113160.13,1.346227e-13,306.05537
2023-01-02 07:00:00,113521.04,0.0,370.33782
2023-01-02 08:00:00,113912.95,0.0,401.37072
2023-01-02 09:00:00,114343.62,0.0,440.16185
2023-01-02 10:00:00,114800.85,0.0,466.76149
2023-01-02 11:00:00,115283.54,0.0,492.2528
2023-01-02 12:00:00,115777.27,0.0,503.33598
2023-01-02 13:00:00,116284.26,-6.7495816e-14,516.6358
2023-01-02 14:00:00,116807.83,6.7433822e-14,533.26057
2023-01-02 15:00:00,117329.14,0.0,531.04394
2023-01-02 16:00:00,117837.1,0.0,517.74412
2023-01-02 17:00:00,118321.75,0.0,494.46944
2023-01-02 18:00:00,118767.57,0.0,455.67831
2023-01-02 19:00:00,119175.67,-1.3416417e-13,417.99549
2023-01-02 20:00:00,119569.32,0.0,403.58736
2023-01-02 21:00:00,119987.33,0.0,427.97036
2023-01-02 22:00:00,120501.73,0.0,524.39403
2023-01-02 23:00:00,121143.53,0.0,651.8506
2023-01-03 00:00:00,121742.34,0.0,608.90502
2023-01-03 01:00:00,122305.2,0.0,573.00501
2023-01-03 02:00:00,122889.23,0.0,594.21865
2023-01-03 03:00:00,123437.31,0.0,558.31864
