,"(('bridgeHP', 'th. Energy Demand'), 'flow')","(('bridgeORC', 'th. Energy Demand'), 'flow')","(('th. Energy Demand', 'demand_th'), 'flow')"
2023-01-01 00:00:00,703.39842,0.0,703.3984188458917
2023-01-01 01:00:00,748.10595,0.0,748.1059454674526
2023-01-01 02:00:00,757.04745,0.0,757.0474507917647
2023-01-01 03:00:00,816.65749,0.0,816.6574862871794
2023-01-01 04:00:00,1013.3706,0.0,1013.3706034220473
2023-01-01 05:00:00,1505.1534,0.0,1505.1533962592175
2023-01-01 06:00:00,1496.2119,0.0,1496.211890934905
2023-01-01 07:00:00,1457.4654,0.0,1457.4653678628858
2023-01-01 08:00:00,1442.5629,0.0,1442.562858989032
2023-01-01 09:00:00,1412.7578,0.0,1412.757841241325
2023-01-01 10:00:00,1374.0113,0.0,1374.0113181693055
2023-01-01 11:00:00,1329.3038,0.0,1329.3037915477446
2023-01-01 12:00:00,1317.3818,0.0,1317.3817844486616
2023-01-01 13:00:00,1314.4013,0.0,1314.401282673891
2023-01-01 14:00:00,1320.3623,0.0,1320.3622862234322
2023-01-01 15:00:00,1332.2843,0.0,1332.2842933225152
2023-01-01 16:00:00,1388.9138,0.0,1388.913827043159
2023-01-01 17:00:00,0.0,1436.6019,1436.6018554394907
2023-01-01 18:00:00,0.0,1466.4069,1466.4068731871978
2023-01-01 19:00:00,0.0,1463.4264,1463.4263714124272
2023-01-01 20:00:00,0.0,1430.6409,1430.640851889949
2023-01-01 21:00:00,438.54923,869.89105,1308.4402791243494
2023-01-01 22:00:00,0.0,1132.5907,1132.5906744128765
2023-01-01 23:00:00,831.56,0.0,831.5599951610329
2023-01-02 00:00:00,0.0,651.99042,651.9904228596018
2023-01-02 01:00:00,0.0,693.43049,693.4304921091529
2023-01-02 02:00:00,0.0,701.71851,701.718505959063
2023-01-02 03:00:00,756.97193,0.0,756.9719316251311
2023-01-02 04:00:00,0.0,939.30824,939.3082363231553
2023-01-02 05:00:00,0.0,1395.149,1395.1489980682159
2023-01-02 06:00:00,0.0,1386.861,1386.8609842183057
2023-01-02 07:00:00,0.0,1350.9463,1350.9462575353616
2023-01-02 08:00:00,0.0,1337.1329,1337.1329011188445
2023-01-02 09:00:00,0.0,1309.5062,1309.5061882858106
2023-01-02 10:00:00,0.0,1273.5915,1273.5914616028665
2023-01-02 11:00:00,0.0,1232.1514,1232.1513923533155
2023-01-02 12:00:00,0.0,1221.1007,1221.1007072201019
2023-01-02 13:00:00,0.0,1218.338,1218.3380359367984
2023-01-02 14:00:00,0.0,1223.8634,1223.863378503405
2023-01-02 15:00:00,0.0,1234.9141,1234.9140636366187
2023-01-02 16:00:00,0.0,1287.4048,1287.4048180193836
2023-01-02 17:00:00,0.0,1331.6076,1331.6075585522376
2023-01-02 18:00:00,0.0,1359.2343,1359.2342713852718
2023-01-02 19:00:00,0.0,1356.4716,1356.4716001019683
2023-01-02 20:00:00,0.0,1326.0822,1326.082215985631
2023-01-02 21:00:00,0.0,1212.8127,1212.8126933701917
2023-01-02 22:00:00,0.0,1049.8151,1049.815087655291
2023-01-02 23:00:00,0.0,770.78529,770.7852880416481
2023-01-03 00:00:00,0.0,556.28817,556.2881672340434
2023-01-03 01:00:00,0.0,610.44011,610.4401127170034
2023-01-03 02:00:00,0.0,578.44124,578.4412358407089
2023-01-03 03:00:00,0.0,632.59318,632.5931813236689
2023-01-03 04:00:00,0.0,851.66242,851.662415322916
2023-01-03 05:00:00,0.0,1265.1864,1265.1863626473378
2023-01-03 06:00:00,0.0,1292.2623,1292.262335388818
2023-01-03 07:00:00,0.0,1247.9562,1247.956198175487
2023-01-03 08:00:00,0.0,1215.9573,1215.9573212991922
2023-01-03 09:00:00,0.0,1147.0367,1147.0366634117888
2023-01-03 10:00:00,27.279749,1077.9122,1105.1919782658651
2023-01-03 11:00:00,148.70906,919.56114,1068.270197254756
2023-01-03 12:00:00,49.412972,999.16561,1048.5785807154978
2023-01-03 13:00:00,0.0,1033.8099,1033.8098683110543
2023-01-03 14:00:00,0.0,1033.8099,1033.8098683110543
2023-01-03 15:00:00,0.0,1060.8858,1060.8858410525343
2023-01-03 16:00:00,0.0,1119.9607,1119.9606906703088
2023-01-03 17:00:00,0.0,1176.5741,1176.574088220676
2023-01-03 18:00:00,0.0,1228.2646,1228.2645816362287
2023-01-03 19:00:00,0.0,1262.7249,1262.7249105799306
2023-01-03 20:00:00,0.0,1252.8791,1252.8791023103015
2023-01-03 21:00:00,0.0,1142.1138,1142.1137592769742
2023-01-03 22:00:00,0.0,969.81211,969.812114558465
2023-01-03 23:00:00,0.0,713.8211,713.8210995481089
2023-01-04 00:00:00,0.0,525.01598,525.0159782868107
2023-01-04 01:00:00,0.0,576.12373,576.1237283855268
2023-01-04 02:00:00,545.92369,0.0,545.9236942362854
2023-01-04 03:00:00,597.03144,0.0,597.0314443350015
2023-01-04 04:00:00,803.78552,0.0,803.7855242798074
2023-01-04 05:00:00,1194.0629,0.0,1194.062888670003
2023-01-04 06:00:00,0.0,1219.6168,1219.616763719361
2023-01-04 07:00:00,0.0,1177.8013,1177.8013318204116
2023-01-04 08:00:00,0.0,1147.6013,1147.6012976711702
2023-01-04 09:00:00,0.0,1082.5551,1082.5550702728044
2023-01-04 10:00:00,0.0,1043.0627,1043.0627179237965
2023-01-04 11:00:00,0.0,1008.2165,1008.2165246746719
2023-01-04 12:00:00,0.0,989.63189,989.6318882751387
2023-01-04 13:00:00,0.0,975.69341,975.693410975489
2023-01-04 14:00:00,0.0,975.69341,975.693410975489
2023-01-04 15:00:00,0.0,1001.2473,1001.247286024847
2023-01-04 16:00:00,0.0,1057.0012,1057.0011952234463
2023-01-04 17:00:00,0.0,1110.432,1110.432024872104
2023-01-04 18:00:00,0.0,1159.2167,1159.2166954208785
2023-01-04 19:00:00,0.0,1191.7398,1191.7398091200614
2023-01-04 20:00:00,1182.4475,0.0,1182.447490920295
2023-01-04 21:00:00,1077.9089,0.0,1077.908911172921
2023-01-04 22:00:00,915.29334,0.0,915.2933426770062
2023-01-04 23:00:00,673.69307,0.0,673.6930694830756
2023-01-05 00:00:00,533.40382,0.0,533.4038169746556
2023-01-05 01:00:00,585.32808,0.0,585.3280823438698
2023-01-05 02:00:00,554.64556,0.0,554.6455618984251
2023-01-05 03:00:00,606.56983,0.0,606.5698272676393
